PARENT_ACCOUNT_ID,ACCOUNT_ID,INDICATION,TOTAL_TRX,DATE,DISTRICT
16152828,72940511,A,6,08/05/2021,CHICAGO IL
16152828,72940511,A,6,02/25/2021,CHICAGO IL
16152828,72940511,A,3,06/02/2021,CHICAGO IL
16152828,72940511,A,3,07/06/2021,CHICAGO IL
16152828,72940511,A,3,05/20/2021,CHICAGO IL
16152828,72940511,A,3,02/26/2021,CHICAGO IL
16152828,72940511,A,2,07/23/2021,CHICAGO IL
16152828,72940511,A,2,07/12/2021,CHICAGO IL
16152828,72940511,A,3,05/04/2021,CHICAGO IL
16152828,72940511,A,3,05/11/2021,CHICAGO IL
16152828,72940511,A,2,06/08/2021,CHICAGO IL
16152828,72940511,A,2,06/17/2021,CHICAGO IL
16152828,72940511,A,2,06/23/2021,CHICAGO IL
16152828,72940511,A,2,04/07/2021,CHICAGO IL
16152828,72940511,A,2,04/14/2021,CHICAGO IL
16152828,72940511,A,2,04/21/2021,CHICAGO IL
16152828,72940511,A,3,01/12/2021,CHICAGO IL
16152828,72940511,A,3,01/20/2021,CHICAGO IL
16152828,72940511,A,3,01/22/2021,CHICAGO IL
16152828,72940511,A,2,07/22/2021,CHICAGO IL
16003889,15050541,A,2,06/29/2021,NEW ENGLAND
122715858,77546774,A,2,02/23/2021,NEW YORK NY
15823477,78719362,A,2,05/20/2021,WASHINGTON DC
16152828,72940511,B,1,02/25/2021,CHICAGO IL
16152828,72940511,C,2,02/25/2021,CHICAGO IL
16034244,53089159,A,1,06/22/2021,WASHINGTON DC
16152828,72940511,B,1,08/05/2021,CHICAGO IL
127802947,1001307039,A,1,05/20/2021,NEW ENGLAND
28012702,15106993,A,1,06/29/2021,PHILADELPHIA PA
127802947,1001307039,A,1,05/10/2021,NEW ENGLAND
127802947,1001307039,A,1,06/06/2021,NEW ENGLAND
127802947,1001307039,A,1,06/16/2021,NEW ENGLAND
16095537,15121754,A,1,06/29/2021,WASHINGTON DC
